zip,population,race_white,race_black,race_native,race_asian,race_other,race_hispanic
10505,851,0.81786134,0.019976498,0,0.113983549,0,0.038777908
10506,5790,0.89119171,0.01433506,0.000690846,0.031433506,0.000690846,0.052677029
10507,6408,0.618757803,0.112047441,0.001716604,0.035424469,0.003745318,0.21551186
10509,19507,0.778079664,0.020402932,0.001281591,0.023478751,0.0011278,0.164812631
10510,9988,0.827893472,0.027232679,0.000400481,0.071185423,0.001101322,0.058770525
10511,2246,0.786731968,0.02760463,0,0.014692787,0.001780944,0.158949243
10512,25590,0.826651036,0.020554904,0.001680344,0.017780383,0.001641266,0.120906604
10514,11946,0.85325632,0.012137954,8.37E-05,0.081282438,0.002511301,0.034990792
10516,5289,0.896388731,0.007184723,0.00226886,0.015882019,0.002079788,0.060124787
10517,539,0.723562152,0.014842301,0,0.050092764,0.005565863,0.192949907
10518,1268,0.876971609,0.006309148,0.001577287,0.052839117,0.000788644,0.036277603
10519,316,0.762658228,0.056962025,0,0.025316456,0.009493671,0.120253165
10520,12810,0.804527713,0.037080406,0.000702576,0.034270101,0.003669009,0.100702576
10522,10875,0.724873563,0.064551724,0.000275862,0.084689655,0.002206897,0.10491954
10523,7444,0.309242343,0.252686728,0.001074691,0.100214938,0.003089737,0.312466416
10524,4421,0.865415064,0.024881249,0.000904773,0.011309658,0.000904773,0.080524768
10526,1809,0.870646766,0.024875622,0.000552792,0.023217247,0.000552792,0.060807076
10527,908,0.919603524,0.011013216,0,0.017621145,0,0.040748899
10528,12280,0.784527687,0.009120521,0.0002443,0.09218241,0.002198697,0.097964169
1053,1685,0.908011869,0.027299703,0.001780415,0.012462908,0.001780415,0.03264095
10530,12604,0.683433831,0.0737861,0.001269438,0.116074262,0.002618216,0.107664234
10532,4931,0.874062056,0.013993105,0.000202799,0.030622592,0.000811194,0.074224295
10533,7322,0.823545479,0.013794045,0.000682874,0.082354548,0.002185195,0.062551216
10535,555,0.693693694,0.048648649,0.001801802,0.036036036,0.001801802,0.205405405
10536,10739,0.894217339,0.010429276,0.000465593,0.023838346,0.001489897,0.05931651
10537,2416,0.759933775,0.049254967,0.000827815,0.01531457,0,0.152317881
10538,16597,0.866903657,0.014520697,0.000301259,0.033439778,0.003735615,0.065313008
1054,1851,0.913019989,0.011885467,0.001620746,0.015667207,0.002701243,0.021069692
10541,26339,0.864117848,0.013478112,0.000569498,0.016591366,0.00163256,0.093853221
10543,20135,0.660293022,0.036900919,0.000744971,0.051154706,0.003675192,0.232778743
10545,141,0.971631206,0.007092199,0,0.007092199,0,0.014184397
10546,1277,0.812059514,0.023492561,0,0.115896633,0,0.04385278
10547,7647,0.695697659,0.067608212,0.002353864,0.042631097,0.004053877,0.172878253
10548,3487,0.840263837,0.027530829,0,0.023515916,0.001433897,0.094924003
10549,16638,0.659273951,0.033898305,0.000661137,0.044716913,0.003185479,0.245642505
10550,37144,0.088520353,0.693436356,0.003903726,0.014188025,0.016961017,0.156687487
10552,19786,0.436166987,0.348377641,0.001162438,0.03088042,0.011776003,0.146820985
10553,10170,0.036381514,0.842379548,0.003146509,0.005998033,0.005801377,0.084660767
1056,21103,0.898592617,0.022982514,0.000663413,0.008055727,0.002132398,0.05605838
10560,4737,0.894659067,0.008444163,0.001688833,0.015410597,0.001899937,0.070297657
10562,31796,0.459177255,0.131054221,0.000597559,0.044439552,0.004057114,0.348282803
10566,23570,0.357870174,0.214255409,0.001824353,0.028638099,0.002757743,0.369664828
10567,19929,0.74584776,0.057002358,0.001053741,0.042751769,0.00215766,0.134979176
1057,8534,0.955237872,0.007265057,0.00210921,0.006093274,0.000820248,0.01769393
10570,12680,0.812066246,0.031466877,0.000236593,0.052917981,0.002760252,0.088249211
10573,38352,0.43768252,0.04383083,0.001564456,0.02570922,0.006049228,0.475829161
10576,5116,0.904808444,0.012900704,0.000195465,0.01876466,0.001368256,0.044566067
10577,6552,0.716269841,0.059065934,0.001373626,0.083791209,0.002899878,0.113247863
10578,681,0.860499266,0.014684288,0,0.022026432,0,0.083700441
10579,8675,0.864553314,0.01556196,0.000806916,0.019020173,0.002420749,0.083573487
10580,17208,0.854951185,0.012029289,0.000406788,0.058228731,0.001569038,0.060320781
10583,38982,0.777358781,0.018752245,0.000461752,0.133830999,0.003180955,0.049612642
10588,2282,0.786152498,0.027607362,0.000438212,0.038562664,0.000438212,0.12971078
10589,8475,0.898171091,0.023126844,0.001179941,0.030088496,0.000825959,0.039174041
10590,6767,0.899069011,0.01063987,0.000591104,0.022461948,0.003103295,0.048174967
10591,22540,0.534960071,0.056255546,0.000621118,0.05771961,0.00390417,0.332741792
10594,5117,0.82821966,0.035372288,0.000390854,0.040257964,0.001758843,0.085792457
10595,8195,0.70152532,0.123733984,0.000610128,0.0585723,0.003660769,0.096034167
10596,1729,0.815500289,0.013302487,0.000578369,0.018507808,0,0.141122036
10597,968,0.945247934,0.004132231,0.001033058,0.013429752,0.001033058,0.032024793
10598,28647,0.845568471,0.021398401,0.000802876,0.045938493,0.001466122,0.073934443
1060,15284,0.822494111,0.028461136,0.001701125,0.050314054,0.003991102,0.07066213
10601,11376,0.414029536,0.199367089,0.000439522,0.095903657,0.003516174,0.26714135
10603,17045,0.425990026,0.258198885,0.000880023,0.065180405,0.003402757,0.22687005
10604,11250,0.637422222,0.064,0.001066667,0.047911111,0.0024,0.231911111
10605,18126,0.691051528,0.075913053,0.000993049,0.051086837,0.001930928,0.165066755
10606,16499,0.33256561,0.143160192,0.000727317,0.055821565,0.005333657,0.450148494
10607,6824,0.345838218,0.266412661,0.000732708,0.104044549,0.008939039,0.25
1062,11150,0.865112108,0.017578475,0.002600897,0.02573991,0.001524664,0.068520179
1063,430,0.658139535,0.053488372,0.002325581,0.165116279,0.006976744,0.06744186
1066,64,1,0,0,0,0,0
1068,1902,0.956361725,0.003680336,0,0.004206099,0.002103049,0.024185068
1069,8469,0.943322706,0.010863148,0.001416932,0.00921006,0,0.023261306
1070,629,0.950715421,0.022257552,0.001589825,0.0063593,0,0.014308426
10701,63393,0.253056331,0.257678293,0.002618586,0.035477103,0.003912104,0.430804663
10703,20301,0.422836313,0.145854884,0.00108369,0.056598197,0.005172159,0.349194621
10704,30165,0.650886789,0.071639317,0.001259738,0.054798608,0.003414553,0.20563567
10705,38777,0.235913041,0.156303995,0.002088867,0.056167316,0.003094618,0.529850169
10706,8679,0.795252909,0.037677152,0.001267427,0.057955986,0.004954488,0.083534969
10707,10097,0.745964148,0.070020798,0.001188472,0.067544815,0.001584629,0.099435476
10708,21225,0.798633687,0.043156655,0.000471143,0.044287397,0.002732627,0.096725559
10709,9292,0.837494619,0.008394318,0.000430478,0.066078347,0.00204477,0.077808868
1071,1596,0.961152882,0.007518797,0.001253133,0.003132832,0.000626566,0.021303258
10710,25120,0.546894904,0.113495223,0.002149682,0.131926752,0.003622611,0.184235669
1072,1478,0.900541272,0.0202977,0.00473613,0.01082544,0.00202977,0.027740189
1073,5792,0.965642265,0.003453039,0.00086326,0.005524862,0.000517956,0.014675414
1074,319,0.940438871,0,0.006269592,0.006269592,0,0.043887147
1075,17527,0.874137046,0.020996177,0.001141097,0.039995436,0.001882809,0.042962287
1077,9502,0.950115765,0.008314039,0.002420543,0.008103557,0.000105241,0.020837718
1079,692,0.940751445,0.00433526,0.005780347,0.001445087,0,0.024566474
1080,2334,0.937874893,0.010282776,0.001285347,0.010711225,0.000856898,0.027420737
10801,40827,0.331912705,0.240723051,0.00183702,0.040316457,0.003012712,0.366816078
10803,12435,0.763650985,0.058624849,0.000402091,0.051628468,0.004905509,0.099959791
10804,14146,0.817686979,0.0752863,0.000212074,0.040152693,0.001767284,0.050473632
10805,18414,0.47186923,0.158412078,0.000868904,0.043065059,0.004941892,0.305637015
1081,1698,0.955830389,0.010011779,0.002355713,0.001766784,0,0.017078916
1082,10322,0.923658206,0.009881806,0.002422011,0.006878512,0.000678163,0.037783375
1083,2888,0.952216066,0.007271468,0.00034626,0.002423823,0.001038781,0.025623269
1084,176,0.954545455,0,0,0,0,0.034090909
1085,41117,0.884938103,0.012841404,0.001483571,0.0127198,0.000267529,0.074786585
1086,687,0.905385735,0.021834061,0.001455604,0.008733624,0,0.045123726
1088,670,0.958208955,0.017910448,0,0.002985075,0,0.008955224
1089,28391,0.820893945,0.029622063,0.001197563,0.043851925,0.001197563,0.087034624
10901,23465,0.772853186,0.041167697,0.002088216,0.048412529,0.001491583,0.120477307
10910,21,0.761904762,0,0,0.238095238,0,0
10911,2,1,0,0,0,0,0
10913,5532,0.792480116,0.020968908,0.000542299,0.066341287,0.000361533,0.103759942
10914,414,0.792270531,0.053140097,0,0.026570048,0.004830918,0.11352657
10915,119,0.882352941,0.033613445,0,0,0,0.075630252
10916,4540,0.842511013,0.033920705,0.002643172,0.019603524,0.002422907,0.084581498
10917,1968,0.75152439,0.027439024,0.00152439,0.052845528,0.00152439,0.149898374
10918,11647,0.746286597,0.064222547,0.002919207,0.036919378,0.001803039,0.1261269
10919,1040,0.763461538,0.035576923,0.003846154,0.026923077,0.003846154,0.152884615
1092,1394,0.948350072,0.00286944,0.004304161,0.006456241,0,0.023672884
10920,8554,0.707388356,0.026069675,0.002922609,0.127425766,0.002688801,0.115852233
10921,4135,0.787182588,0.0452237,0.002660218,0.018621524,0,0.133978235
10922,1559,0.810776139,0.026940346,0.008980115,0.014753047,0.013470173,0.102629891
10923,8732,0.496564361,0.133875401,0.000458085,0.037448465,0.002404947,0.312986716
10924,13120,0.761814024,0.055335366,0.00304878,0.026753049,0.001753049,0.136585366
10925,4539,0.831680987,0.015862525,0.005067195,0.021370346,0.001101564,0.112139238
10926,3203,0.624726819,0.09272557,0.004370902,0.095847643,0.002809866,0.157976897
10927,11910,0.193031066,0.096893367,0.002015113,0.021998321,0.000923594,0.671116709
10928,4175,0.645508982,0.113532934,0.004311377,0.020598802,0.000479042,0.183712575
1093,325,0.978461538,0.009230769,0,0,0,0.006153846
10930,8958,0.731636526,0.054029917,0.001339585,0.051015852,0.002121009,0.138647019
10931,1023,0.417399804,0.16226784,0.082111437,0.034213099,0.002932551,0.197458456
10932,60,0.916666667,0,0,0,0,0.083333333
10933,473,0.88794926,0.027484144,0,0,0,0.082452431
1094,351,0.965811966,0.002849003,0,0,0,0.022792023
10940,48418,0.484819695,0.151142137,0.003056714,0.020983932,0.002994754,0.312941468
10941,13779,0.567385151,0.148777125,0.002975542,0.03846433,0.003120691,0.214747079
1095,14319,0.922201271,0.019484601,0.000279349,0.019903625,0.001117396,0.027446051
10950,47226,0.847965104,0.022000593,0.001693982,0.021598272,0.001037564,0.094947698
10952,38917,0.893208623,0.043862579,0.000796567,0.016753604,0.000565306,0.038389393
10953,252,0.900793651,0.003968254,0,0.01984127,0,0.05952381
10954,23045,0.61084834,0.122022131,0.001215014,0.122889998,0.001562161,0.126838794
10956,31521,0.728403287,0.062339393,0.000983471,0.100948574,0.00260144,0.089527617
10958,3291,0.79155272,0.073837739,0,0.016104527,0.002127013,0.103008204
1096,2217,0.963464141,0.00180424,0.00045106,0.00315742,0.00360848,0.0180424
10960,15093,0.612005565,0.191280726,0.002053932,0.043132578,0.003312794,0.127410058
10962,5950,0.648235294,0.073277311,0.001008403,0.149243697,0.001680672,0.11092437
10963,4298,0.554676594,0.213122383,0.004420661,0.013494649,0.004187994,0.198697068
10964,1472,0.784646739,0.016304348,0.000679348,0.133831522,0.001358696,0.059103261
10965,14791,0.874315462,0.00716652,0.001555,0.035764992,0.00101413,0.070448246
10968,2353,0.78920527,0.032299193,0.000424989,0.060773481,0.003824904,0.101572461
10969,1267,0.858721389,0.01973165,0.000789266,0.008681926,0,0.101815312
1097,111,0.945945946,0,0,0,0,0.054054054
10970,9993,0.544280997,0.165916141,0.001901331,0.074251976,0.003702592,0.189932953
10973,2126,0.848541863,0.016462841,0.001411101,0.016933208,0.000470367,0.100658514
10974,3152,0.785850254,0.030139594,0.002220812,0.028236041,0.003489848,0.137690355
10975,281,0.850533808,0.039145907,0,0.014234875,0.003558719,0.085409253
10976,2258,0.768821966,0.026129318,0.00088574,0.06465899,0.001771479,0.120017715
10977,59048,0.429498035,0.284920742,0.001287088,0.046707763,0.002946755,0.220396965
10979,234,0.88034188,0.004273504,0.004273504,0.017094017,0.012820513,0.068376068
1098,1101,0.962761126,0.000908265,0,0.009082652,0,0.010899183
10980,13383,0.785772996,0.034222521,0.000747217,0.029888665,0.001868042,0.135395651
10983,5532,0.767715112,0.010484454,0.000542299,0.111171367,0.001084599,0.094902386
10984,2842,0.676636172,0.075299085,0.001759324,0.04468684,0,0.192821956
10985,58,0.879310345,0.103448276,0,0,0,0.017241379
10986,1974,0.856636272,0.02077001,0.000506586,0.00810537,0.001013171,0.088652482
10987,3395,0.837113402,0.01826215,0.000883652,0.0544919,0.002650957,0.06921944
10988,896,0.880580357,0.025669643,0.001116071,0.004464286,0.002232143,0.080357143
10989,9293,0.719573873,0.051113742,0.00150651,0.100613365,0.00150651,0.107069838
10990,20631,0.818767874,0.055305123,0.002035771,0.01299016,0.002665891,0.092869953
10992,9621,0.738176905,0.060492672,0.000831514,0.023594221,0.001766968,0.160690157
10993,4769,0.345565108,0.160830363,0.001467813,0.049276578,0.001258125,0.421681694
10994,7085,0.773041637,0.023570924,0.000282287,0.105151729,0.001270289,0.083274524
10996,6756,0.748815867,0.06187093,0.003848431,0.045441089,0.002072232,0.097394908
10998,3122,0.848494555,0.024663677,0.00128123,0.01409353,0.003203075,0.091928251
11001,26883,0.657590299,0.057173679,0.001934308,0.1449615,0.006770078,0.112673437
11003,41356,0.211746784,0.43710707,0.003070897,0.107142857,0.012235226,0.206959087
11004,14016,0.428652968,0.05864726,0.002711187,0.363013699,0.010416667,0.10409532
11005,1806,0.954042082,0.016611296,0,0.011627907,0,0.013289037
11010,23821,0.805675664,0.011922253,0.001091474,0.05742832,0.002266907,0.112673691
11020,5914,0.520967196,0.087419682,0.001014542,0.289482584,0.004227257,0.083868786
11021,17729,0.747701506,0.018726381,0.000451238,0.150205877,0.002707429,0.063004118
11023,9027,0.845574388,0.010080869,0.000221558,0.075329567,0.001883239,0.041431262
11024,8002,0.804923769,0.01612097,0.000124969,0.048612847,0.001749563,0.087728068
1103,2479,0.258168616,0.147236789,0.005647438,0.024606696,0.001210165,0.54336426
11030,17962,0.806424674,0.012526445,0.000222692,0.123649928,0.0014475,0.041420777
1104,22865,0.364968292,0.111874043,0.001661929,0.014563744,0.001924339,0.486857643
11040,40782,0.551812074,0.013486342,0.001912609,0.320067677,0.004193026,0.088960816
11042,520,0.773076923,0.144230769,0.001923077,0.023076923,0.001923077,0.038461538
1105,12350,0.153603239,0.191983806,0.002510121,0.009392713,0.001538462,0.625587045
11050,30171,0.717079315,0.01713566,0.000795466,0.103476849,0.002220675,0.146034271
1106,16021,0.906934648,0.010174146,0.000249672,0.047250484,0.000749017,0.023531615
1107,11611,0.130135217,0.067005426,0.001119628,0.004134011,0.00180863,0.785806563
1108,26688,0.358175959,0.166629197,0.002510492,0.059277578,0.002060851,0.39002548
1109,30250,0.215338843,0.403173554,0.00277686,0.010347107,0.001157025,0.339305785
11096,8344,0.256711409,0.256112176,0.001078619,0.024688399,0.008628955,0.441275168
11101,25484,0.281392246,0.184861089,0.002158217,0.158766285,0.008161984,0.344843824
11102,34133,0.427621363,0.085049659,0.002080098,0.1517007,0.009316497,0.303108429
11103,38780,0.560778752,0.015368747,0.001598762,0.141129448,0.013254255,0.247086127
11104,27232,0.401733255,0.015202703,0.002056404,0.258886604,0.005801998,0.294175969
11105,36688,0.64527911,0.017962276,0.001063018,0.110799171,0.007195813,0.196522024
11106,38875,0.407459807,0.076115756,0.002032154,0.190173633,0.012424437,0.287845659
11109,3523,0.606585297,0.041441953,0.000851547,0.216576781,0.009650866,0.090831678
1118,14071,0.672020468,0.125435292,0.000710682,0.03695544,0.001350295,0.142420581
1119,14152,0.540771622,0.196085359,0.002614471,0.01575749,0.001978519,0.219544941
11201,51128,0.605539039,0.139473478,0.001662494,0.097109216,0.003677046,0.124491472
11203,76174,0.026360701,0.882663376,0.002363011,0.012313913,0.004279675,0.055898338
11204,78134,0.617925615,0.005477769,0.00052474,0.262177797,0.001689405,0.102349809
11205,40366,0.388668682,0.317371055,0.001907546,0.050240301,0.003864639,0.212183521
11206,81677,0.260171162,0.239614579,0.002007909,0.054140088,0.002191559,0.429961923
11207,93386,0.016779817,0.60374146,0.002869809,0.010751076,0.005953783,0.346122545
11208,94469,0.020885158,0.420889392,0.004795224,0.082270374,0.021901364,0.430246959
11209,68853,0.692983603,0.017036295,0.001074753,0.114577433,0.003529258,0.149913584
11210,62008,0.3111534,0.55284802,0.00190298,0.034737453,0.004322023,0.079489743
11211,90117,0.650299056,0.033844891,0.001154055,0.037817504,0.003528746,0.260927461
11212,84500,0.007881657,0.802378698,0.002745562,0.00695858,0.00287574,0.164556213
11213,63767,0.176690138,0.691925291,0.002383678,0.008499694,0.003387332,0.102043377
11214,88630,0.520218888,0.008789349,0.000733386,0.322261085,0.002301704,0.13339727
11215,63488,0.673040575,0.051017515,0.000976563,0.06218498,0.004756804,0.178663684
11216,54316,0.103560645,0.728717137,0.002282937,0.029475661,0.004308123,0.108549967
11217,35881,0.500571333,0.202056799,0.002118113,0.059725203,0.003790307,0.200440344
